Data,Method,Parc,R,CIs_R_1,CIs_R_2,MAE,CIs_MAE_1,CIs_MAE_2,Delta_R,CIs_Delta_R_1,CIs_Delta_R_2,Delta_MAE,CIs_Delta_MAE_1,CIs_Delta_MAE_2
Age_gender_scanner_TBrainVolume,glmnet,NaN,0.232441440339114,0.132893979913028,0.329246873605356,10.3988892670155,9.66037192239893,11.0851966821882,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume,randomF,NaN,0.230884600401655,0.129435361047301,0.324215677571694,10.3843920223451,9.6105274084231,11.1476885737527,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume,SVR,NaN,0.176007438915246,0.0736261917406388,0.275237696505907,10.4815407356179,9.70522794197938,11.2455334304001,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume,Xgboost,NaN,0.148787367613939,0.0503649725125495,0.250483915008743,10.5973730859184,9.81940320764447,11.422652281918,NaN,NaN,NaN,NaN,NaN,NaN
Age_gender_scanner_TBrainVolume_Contrast,glmnet,160,0.199251332265666,0.0966601444960233,0.294015232874775,10.4479463800223,9.67476100376418,11.2764692577214,-0.0331901080734477,-0.145004227327793,0.127850448049159,0.0490571130067963,-1.04517585117162,1.13660385291805
Age_gender_scanner_TBrainVolume_Contrast,randomF,160,0.212737560627449,0.111623500813372,0.3087457989947,10.41567655021,9.65988021738581,11.1440238640724,-0.0181470397742055,-0.146756358995554,0.122578102744331,0.0312845278649281,-1.01262456858652,1.06119067903613
Age_gender_scanner_TBrainVolume_Contrast,SVR,160,0.0573393383753968,-0.0644902556534158,0.168900219439291,10.5628119792232,9.79833033370545,11.3924520866904,-0.11866810053985,-0.255060161436737,0.0714095909337482,0.081271243605352,-1.0384890175375,1.23731829449666
Age_gender_scanner_TBrainVolume_Contrast,Xgboost,160,0.168813139779366,0.0719369304061539,0.268410021909651,10.6764256921353,9.85766931539068,11.5080372413656,0.0200257721654271,-0.105024184729284,0.167538502165545,0.0790526062169317,-1.09469439503903,1.14159933463273
Age_gender_scanner_TBrainVolume_Contrast,glmnet,640,0.215806460433993,0.116263232876958,0.312595258734744,10.5098152373299,9.76684024496569,11.2643924597743,-0.0166349799051203,-0.150766446773285,0.14529513352385,0.110925970314376,-0.993227917438417,1.10590621297234
Age_gender_scanner_TBrainVolume_Contrast,randomF,640,0.194060018208819,0.0866877175638896,0.289273809975438,10.4487170601644,9.69575293103893,11.2338912618227,-0.036824582192836,-0.163278473876114,0.0932623137359781,0.0643250378193336,-1.00633660271808,1.17987763163322
Age_gender_scanner_TBrainVolume_Contrast,SVR,640,0.128921025609735,0.0292001402418166,0.225131605309836,10.6284050438114,9.79889529623981,11.4788538662288,-0.0470864133055111,-0.168812367391835,0.106163281588996,0.146864308193477,-0.958109980909371,1.16125050098301
Age_gender_scanner_TBrainVolume_Contrast,Xgboost,640,0.121628813817575,0.0213488883555235,0.22396523061251,10.8281567786351,9.98241871184882,11.6142429110104,-0.0271585537963647,-0.16543093781926,0.114135472752456,0.230783692716695,-0.942985734335319,1.24954683918598
Age_gender_scanner_TBrainVolume_Contrast,glmnet,2560,0.215891675510129,0.119613456882228,0.318488502096884,10.5006162113903,9.73398903172015,11.3308571193673,-0.0165497648289845,-0.14786205591911,0.137106784633578,0.1017269443748,-1.04308145999214,1.17698449735557
